comments;sentiment
cancelei o pedido no mesmo dia da compra, mas eles simplesmente ignoraram, nao responderam minhas mensagem e e impossivel falar tambem com as lojas lannister. nunca mais comprarei nessas 2 lojas.;neg
o espelho fica embacado. comprei um espelho de box anti-embacante, porem o espelho embaca. senti que ele embaca menos que os demais espelho, mas ainda sim embaca.;pos
super recomendo ... segunda vez que compro .. deu tudo certo;pos
nao recomendo esta loja pois so fique sabendo que o produto nao seria entregue por quer entrei em contato em momento algum a loja mim informou que o pedido nao seris entregue como vendem o que nao tem;neg
equipamento muito fragil. o produto chegou antes do prazo, porem, eu nao recomento a caneleira e muito maleavel e a luva tem pouco preenchimento.;neg
muito bom;pos
impressionante . o pedido foi entregue um dia apos a compra. acho que isso nunca aconteceu comigo. muito bom.;pos
so que o manual esta em ingles.;pos
10. entraga rapida. gostei de ter comprado pelo site de voces;pos
produto de qualidade e fidelidade, alem de rapida entrega. recomendo.;pos
file . muito bom;pos
produto veio defeito. produto veio torto na ponta onde medi;neg
poderia ter chegado antes!!!!;neg
produto entregue no prazo;pos
produto entregue bem embalado mas com atraso, postado no dia previsto para entrega. nao testado ainda.;pos
o produto nao foi entregue e tenho que retirar nos correios, sendo que estou com uma bebe de 3 meses e ainda nao posso sair com a crianca de casa por conta das vacinas, alem disso nao e perto;neg
otimo produto e entrega dentro do prazo.;pos
produto como descrito . muito bom.;pos
obrigada. recebi tudo certinho.;pos
produto chegou, adorei, porem a entrega poderia ser mais celere. quando estava comprando, dizia um prazo na tradicional, quando encerrei a compra, o prazo se estendeu.;pos
maquina leve e de facil manuseio, apenas cuidado na hora de fazer a barba na area do pescoco, porque a lamina e bem afiada. eu recomendo, alem de potente deixa o pelo bem rente a pele.;pos
nao tenho nada a dizer do procuto pois ainda nao chegou, porem fico chateada pois paguei o frete a ainda nao chegou, gosto de pontualidade.;neg
o produto veio correto, no entanto, os parafusos da tampa estavam mal colocados e folgados.;neg
o produto chegou, o tempo foi bom.porem nao estou confiante na empresa. produto doce, procuramos pelo cnpj da empresa e nao encontramos, infelizmente nao estamos seguros que o produto seja original.;neg
muito bom. produto chegou antes do prazo;pos
recebi somente um item;neg
tudo perfeito com a transacao.;pos
divergencia de cor. informo que comprei o produto na cor azul eescuro e cinza conforme a foto do produto e foi entregue o produto na cor azul claro.;neg
chegou antes muito bom;pos
boa;neg
recomendo.. recomendo pelo prazo de entrega e valor. mas o adesivo do produto nao veio com o selo camaleao, como alguns que ja comprei, deixando margem quanto a qualidade final.;pos
produto muito fragil;neg
quero o produto que comprei. paguei pelo amarelo e pelo acgua 2 produtos diferentes pela cor.me enviaram 2 acqua;neg
indico, produto chegou na data e veio integro.;pos
razoavel. peco um produto por um codigo e vem outro totalmente diferente.;neg
inferior;neg
a entrega demorou por conta de um problema com os correios, avisado pela lannister.com. contudo , o lojista nao respondeu as mensagens enviadas. no fim deu tudo certo.;neg
prazo muito longo de entrega;pos
nao recomendo. bom dia,gostaria de saber porque meu pedido veio errado e porque eu pedi a troca e vcs me mandaram errado de novo,pois pedi uma arara cromada vcs me mandaram em branco fiz a troca e vcs me mandaram br;neg
gostei e o atraso foi por conta dos correios aqui;pos
recomendo demais;pos
putz! ja faz um mes que comprei o cartucho. cade ele? nunca aconteceu isso. estou decepcionado dessa vez. stark sempre me atendeu bem e teve entrega rapida.;neg
produto de primeira! muito bem feito, item de colecionador!;pos
muito boa.;pos
eu cancelei o pedido 02-672741651,mas esta sendo cobrado;neg
recebimento antes do prazo;pos
estou compedreiro esperando essa cascata;neg
um problema existente em minha opiniao e a falta de controle dos produtos quando vao ser entregues,meu avo comprou 6 luminarias da mesma que eu e chegaram apenas 5;neg
recomendo, veio tudo certo;pos
estou preocupada pq recebi este e-mail perguntando se ja recebi meu produto. porem, o mesmo ainda nao foi entregue. entrei na minha conta e o produto esta sendo dado como entregue desde 16 de junho.;neg
falta informacoes sobre o produto como as medidas do produto;neg
produto nao chegou ainda;neg
excelente produto porem e cobrado o frete e nao e entregue em casa tem que ser retirado no correio nao achei justo nesta parte;pos
estou dando tres estrelas porque nao usei o aparelho so teste.i;neg
veio a esponja de urso grande e uma esponja de peixe pequena, em vez de duas de tao igual na foto, mas de resto veio tudo certinho;pos
esta loja entregou bem rapido;pos
comprei um cartucho hp 670 xl original conforme informado no site e me enviaram um paralelo. a imagem inclusive e do cartucho original. recomendo olhar a avaliacao da loja parceira.;neg
infelizmente minha avaliacao e negativa pq o controle veio com defeito, ele funciona mas a tampa da caixa das pilhas nao fecha, esta sem pressao de modo que dificulta o manuseio, espero a troca;neg
a entrega super rapida, me deram 11 dias de prazo com 2 dias chegou o produto;pos
estao de parabens;pos
otimo . produto muito bom, o valor excelente, loja muito responsavel, gostei muito, deus abencoe, paz e bem.;pos
o produto e bom.;neg
o transporte foi feito pelos correios e infelizmente recebi a cuba quebrada, enviei um email no mesmo momento e ainda nao obtive nenhum retorno pra troca,estou mto decepcionada!;neg
satisfeito;pos
produto de boa qualidade e entregue antes da data;pos
compra . chegou antes do prazo previsto.;pos
nao comprarei mais mesa loja.;neg
nao veio tudo em um pacote so, foi chegando separado .. mas chegou tudo certinho;pos
ecelente recomendo;pos
entregou o produto no prazo, bom preco.;pos
produto muito bom e chegou bem rapido!recomendo a todos!;pos
um otimo produto;pos
muito bom!!. entrega rapida, produto de boa qualidade.;pos
so uma das canaletas que nao veio perfurada e nao consegui encaixar direito.;pos
super recomendo;pos
bom. bom;neg
muito bom!;pos
muito bom! . o produto chegou em otima condicao. so o prazo de entrega foi adiado duas vezes. no mais tudo bem.;pos
realmente ainda nao entregou num todo , porem o primeiro bem antes do combinado espero o segundo tambem seja da mesma forma ai sim sera com excelencia .;pos
o produto chegou antes de prazo.parabens pela pontualidade.;pos
so achei estranho ser de coracaozinho por ser unissex kkk mais nao deixa de ser linda e otimaaa;neg
insatisfacao. negativo;neg
excelente!. recomendo.;pos
"1 de 2 cartuchos nao funcionou; mensagem de incompatibilidade e, depois, nenhuma impressao apos ajustes nas configuracoes e paginas de teste. solicitei devolucao e troca deste cartucho; o outro ok.";neg
produto com entrega atrasada;neg
excelente atendimento. nao dei 5 estrelas, porque o produto ainda nao foi instalado e nao usei.porem a responsabilidade com o cliente, nota 10.o produto chegou super rapido.;pos
nao tem boa avaliacao por atraso na entrega;neg
otimo produto e entregue bem antes do prazo. super recomendo.;pos
produto de otima qualidade... entrega rapida;pos
"so tive problemas com relacao a entrega, mas agora recebi ; super satisfeita";neg
entrega bem antes do prazo previsto, adorei, assim que se faz uma empresa seria.;pos
foi entregue antes do prazo. muito bom.;pos
nunca mais eu compro nessa loja e vou no procon, estou esperando a meses e nao chegou ainda, pessimo, quero o produto ou outra coisa na troca.;neg
entrega no prazo, recomendo e compro sempre que precisar.;pos
recomendo. produto entregue no prazo em perfeito estado.;pos
dou parabens para a entrega 10 dias de antecedencia, o prazo era 13 e foi entregue em 3, e recomendo muito o produto, funciona perfeitamente e atendeu minhas necessidades;pos
ficou faltando a nota fiscal;neg
produto no prazo. ainda avaliando a utilidade...;pos
recomendo!;pos
otimo;pos
entregue com sucesso!;neg
nao chegou os livros, chegou suplementos e continua chegando suplementos.;neg
acho isso uma falta de respeito com o cliente .;neg
produto bom, conforme anunciado;pos
recebi o produto , chegou td certo e antes do prazo , em breve faremos negocio ,,,,,,;pos
nao sei quem foi a responsavel pelo transtorno, mas mendiguei atencao sobre esse pedido. tentei cancela-lo inumeras vezes. espero a fatura do mes que vem para saber se realmente o cancelaram.;neg
recomendo. confio muito nesta empresa. agradeco.;pos
produto conforme descrito. gostei muito do produto. ainda nao coloquei, mas veio com as cores iguais as da foto.;pos
otima;pos
linda foi o tamanho que eu desejei...;pos
amei a minha bolsa de couro, alem de ser muito linda e bem leve. com relacao a entrega estao de parabens, comprei em 19/11/17 com previsao de entrega para 07/12 e chegou dia 27/11.;pos
comprei a cadeira tem mais 1 mes e ate agora nao recebi. pessima empresa nunca mais compro dela.;neg
saia. muito bom! adorei p produto e entrega super rapido;pos
"a entrega ocorreu dentro do prazo, destarte, o prazo maximo estipulado, quase me fez desistir da compra. o produto nao atendeu minhas expectativas: som pessimo; foco nao ajusta; causa tonturas...";neg
bom dia nao recebi meu produto ate agora ja se passam de 2 meses queria receber meu dinheiro devolta.;neg
adoro esse produto ! recomendo sim.;pos
esperava muito mas qualidade do produto como vina foto, ficou muito a desejar;pos
compra super tranquila;pos
adorei e continuarei cliente.;pos
estou aguardando a entrega que era prevista para 30/0602017;neg
super eficientes;pos
entrega no prazo. muito boa essa loja, nao atrasa o pedido os produtos vem certinho...;neg
entrega no prazo. recomendo!!!;pos
gostei. chegou rapido;pos
fixacao media, mas bons para o cotidiano;neg
pela primeira vez me decepcione com um proteto nem acreditei qusndo eu vi produtos e pessima qualidade aff;neg
bom dia, o frete foi o dobro do valor do produto e o demorou quase dois meses para ser entregue, nao vou mais comprar desse fornecedor e vou tomar mais cuidado com os periodos e valores do frente.;neg
loja correta, sem problemas;pos
o produto atendeu as minhas expectativas.;pos
fiz a compra para recebimento do ate dia 20/12 e ate o momento nao o recebi e nao ha prazo para recebimento do produto. nao gostaria de cancelar a compra, pois quero o produto, mas sem prazo, complica;neg
"pendente marcado!. o pendente veio com falhas na pintura; como o eletricista ja havia instalado; optei por nao trocar o produto!";neg
boa;pos
excelente!. excelente, muito obrigado!;pos
produto de otima qualidade, conforme o anunciado e entrega dentro do prazo.;pos
satisfeito. gostei das fronhas, muito boas;pos
rapido e simples, primeira compra feita com uma mao, pelo celular.;pos
fiquei satisfeito com a rapidez da entrega.;pos
produto de qualidade. a trama e bem feita. nao gostei do acabamento, tem grampos a mostra e levemente torto.;neg
recebi o produto no prazo certo e recomendo o vendedor.;pos
o pelicula que recebi apesar de vir identificada a caneta como sendo para um celular lg k10 - e inadequada para o modelo por ser pequena, nao a instalei pois ficaria ridicula.;neg
recomendado. me atendeu pontualmente a o que foi comprado;pos
entrega rapida;pos
otima. a mercadoria chegou ate antes da data prevista !;neg
recomendo. muito bom;pos
super recomendo. entrega super rapida;pos
bom dia!ao abrir a caixa, verifiquei que o pedido brinco de gancho pendurado chapeado de prata cristal orelha prata 5 estava faltando e estava sendo especificado na nota fiscal.;neg
entrega rapida. muito bom;pos
nao recebi os produtos corretamente faltou uma boneca pois comprei duas;neg
perfeito;pos
super recomendo. muito bom gostei;pos
zero. nao recebi o produto, sendo que o valor ja foi pago!!! totalmente insatisfeito.;neg
...;neg
como posso avaliar positivamente se nao recebi a mercadoria? meu filho esta frustrado pois o presente era pra ele. decepcionante.;neg
antes do previsto chegou o produto;pos
aguardando a entrega. aguardando a entrega;neg
ja comprei dessa loja e nunca tive problemas, apenas nessa compra ainda nao recebi o meu pedido;neg
preciso com urgencia deste produto, esta demorando demais, favor me retornarem com urgencia quanto a esta entrega;neg
compro com frequencia e sempre com excelente atendimento.;pos
o parceiro de vendas do stark, e excelente nao tenho nada a reclamar.obrigada.;pos
antes os produtos vinham do stark. depois comecaram a vender de outras lojas. agora terceirizou a terceirizacao. pagamos 1frete para cada produto. agora com a targaryen nao sabemos nem de onde vem.;neg
comprei 2 itens da mesma loja, recebi apenas 1 e foi cobrado 2 fretes;pos
otimo;pos
o produto chegou muito antes do previsto, fato louvavel. no entanto, veio com defeito. como devo proceder?;pos
a entrega esta para dia 04/04 e ate o momento nao recebi. gostaria de saber o que esta acontecendo.;neg
muito bonita, adorei;pos
muito bem atendido.;pos
sai mto rapido;neg
recomendo pois cumprem com o combinado sem susto nenhum;pos
a entrega foi muito rapido, quanto a cortina e boa gostei muito recomendo.;pos
o produto chego antes do prazo. e muito facil de usar. agora aguardo por efeito. muito obrigada.;pos
pra min deu tudo como foi combinado via telefone . recomendo;pos
como faco pra fazer a troca ..produto errado;pos
eu acabei com o preconceito de comprar na internet, esta compra sera a primeira de muitas;pos
recomendo. bom;neg
atendimento pessimo das lojas lannister tambem. produto incompleto.nao merece nenhuma estrela.;neg
os correios ta uma bosta mesmo. o vendedor nao deve ter culpa.;neg
gostei do produto, porem a entrega atrasou... muito. tratava-se de um presente de casamento, e a entrega ocorreu alem da data prevista, o que gerou desconforto pela situacao. lamentavel.;neg
otimo. satisfeito, otimo;pos
bom. vou usar o produto pra ver se e o que promete ! se nao for vou denunciar !;pos
quero q envie o que falta do aparelho.;neg
decepcionada com a compra. o produto foi entregue com atraso, o pior nao foi isso, o mesmo chegou solto em uma caixa suja, tive que usar panos para limpar a embalagem antes de abrir. a sujeira me deixou indignada!;neg
quando comprei o produto a entrega era de 15 dias uteis ja tem quase trinta ainda nao recebi;neg
nota 10. entrega no prazo muito bom;pos
muito bom . muito bom;pos
recomendo. satisfeito;pos
a capa chegou antes do prazo e estava como no anuncio. super recomendo a loja!;pos
recebi somente 1 item do pedido;neg
vcs entregam um produto e o outro comprado no mesmo dia e para o mesmo endereco nao chega pq dizem que o endereco esta errado. um absurdo!;neg
sempre comprei na loja nunca tive problemas...;neg
o relogio e muito bonito, pratico e funcional. bem leve. gostei muito! a compra foi feita sem problemas e a entrega ocorreu muito antes do previsto!100 satisfeita!;pos
produto de excelente qualidade. totalmente recomendado para auqles que prezam por sofisticacao e qualidade;pos
nao gostei do produto. dormir com o aparelho meu dentes sangrou,estao dolorido,nao recomendo.;neg
o produto atrasou muito a ser entregue. e fiquei sem informacoes de rastreio por um bom tempo mesmo tendo pago taxa de frete.recebi o produto mas vou desistir da compra a nf veio com um valor menor.;neg
a quantidade entregue nao foi a comprada.recebi apenas 1 unidade.;neg
achei o produto muito pequeno, e o material fraco.como os produtos do baratheon sao de otima qualidade deixou a desejar.;neg
o produto que recebi nao e da cor que comprei. ja solicitei devolucao.;neg
achei so injusto cobra a racha de entrega se o produto nem chegou a vir na minha casa fui buscar no correio e o mesmo me disse que nem vieram na minha casa entregaram a notificacao pra busca direto no;neg
nao recebi a mercadoria;neg
o relogio chegou perfeito porem as faixas fiz a compra de dois kits e so veio um gostaria de saber oq vai ser feito porq estou com uma parede em branco comprei dois kits porq era oq eu precisava .;neg
muito bom;pos
meu pedido foi solicitado no dia 30/11 e a previsao de chegada era ate dia 26/12 porem ontem dia 15/12 no inicio da tarde meu produto chegou. tudo correto!;pos
o prazo de entrega finalizou e nao recebi o produto;neg
recebi apenas o controle ... o balde de pecas nao foi entregue.;neg
na minha opiniao vcs estao de parabens e com certeza por esse empenho e comprometimento que vcs tem com o trabalho que vcs executam merecem estar em primeiro lugar de vendas on line continue assim ...;pos
boa tarde, recebi o produto nao compativel com o apresentado na foto e nem compativel com o valor... desejo efetuar troca;neg
bom;neg
muito tempo pra fazer a. entrega de um simples adaptador;neg
no frete economico o prazo poderia ser mais rapido e nos principalmente.;pos
recomendo. nada tenho a decrarar um abraco;pos
meu endereco ficou mudado na nota: no lugar do meu nome tava o meu endereco.;pos
otimo;pos
entrega de produto. shptime sempre 100.;pos
entrega ok. entregue bem antes da data!!;pos
recomendo loja. produto entregue antes do prazo e em perfeitas condicoes;pos
amo comprar nas lojas americas, so que as vezes os produtos sao mesmo valor que na loja;pos
toalha muito fina pelo preco;neg
saia box . teve um poblema de endereco porq vcs nao colocou o complemento. porq no cadastro ta tudo certo o erro foi ai. o correio nao encontrou o endereco quase que volta a mercadoria mais consegui resgasta .;pos
o produto ainda nao chegou.;neg
produto chegou bem antes do previsto.;pos
o produto chega certinho e no prazo bem inferior ao estipulado.recomendadissimo;pos
acabamento ruim. as pecas encontram-se remendadas, mal soldadas. pra quem e detalhista pode se encomodar.;neg
faltando parte do produto, ja foi solicitada a devolucao.;neg
super recomendo;pos
.. .;pos
como o esperado, nao deixou nada a desejar, para comecar pelo acompanhamento do pedido, a cada mudanca me enviava uma msg, e isso e muito importante, pois mostra a seriedade da empresa.;pos
sempre compro por este site nunca tive nenhum problema...;pos
meu produto nao foi entregue!! quero meu dinheiro de volta!;neg
otima loja e produto de otima qualidade!!recomendo!!;pos
recebi um produto diferente do descrito e nao consigo trocar pelo site.;neg
otima;pos
otima;pos
sempre recebi meus pedidos em minha minha residencia sem nenhum problema e ultimamente tenho tido problemas com isso.as mercadorias nao estao chegando em meu endereco e com isso ha um constrangiment;pos
super recomendo. excelente, entrega feita antes do prazo e o produto conforme anunciado.muito obrigada;pos
muito bon. chegou no prazo;pos
recomendo.;neg
insatisfeito . comprei a cadeira com a previsao de entrega de 2 semanas, ja fazem mas de 30 dias e nada da cadeira. comprei a mesma cadeira em outro site para uma amiga, ela recebeu com 20 dias e eu a minha nada;neg
super recomendo;pos
mercadoria bem protegida e embalada,entregue no prazo,sem avarias.estou muito satisfeita.;pos
site confiavel;pos
produto com defeito . recebi o produto com defeito, com marcas de uso e o carregamento precisou de mais de 2 horas para atingir 40 de carga;neg
fita gel curativo. bom;pos
muito demorado;neg
bom;neg
bom. bom;pos
faltou um produto, somente um foi entregue.;neg
o produto recebido veio errado;neg
colimador/ajustador de mi. ok.;pos
otima qualidade;pos
recomendo , porem fiz o pedido de tres luminarias e ate hoje chegaram somente 2;pos
super recomendo . o produto foi entregue corretamente, antes do prazo previsto e o mesmo funciona corretamente. recomendo;pos
muito rapido. gostei muito;neg
bom l;pos
bom produto,entregue antes do prazo.;pos
recomendo o produto chegou conforme o enunciado. meu filho amou!;pos
otimo;pos
muito fofo meu radinho..amei;pos
produto excelente!. um excelente produto e entrega rapida! apenas uma observacao e que a funcao rastrear a entrega estava indisponivel, impossibilitando assim saber o dia em que o produto seria entregue.;pos
otimo! . produto otimo e entrega muito rapida! vale a pena!;pos
produto bom em conforme com o preco;neg
estao de parabens. muito booom recebi antes do prazo;pos
comprei dois falta um. nao entregaram os dois ainda falta um.;neg
super recomendo. chegou antes do prazo previsto;pos
eu deveria ter comprado do mod. redmi 5a e acabei comprando errado mi5;pos
o produto relogio invicta pro diver - 21954, veio trocado pelo invicta pro diver 24001, tudo bem produto similar, mas o produto relogio invicta specialty 21439syb nao chegou, peco ate providencias.;neg
recomendavel. muito bom;pos
obrigado continuem assim vlw;pos
prazo excelente e produto otimo. tudo perfeito.;pos
bem tenhoqueteroproduto;neg
nao consegui entrar em contato com a loja, infelizmente consta no cadastro que a mercadoria foi entregue, foi entregue para quem? nao houve atendimento pos venda!;neg
satisfeito. produto chegou no prazo, e deu tudo certo;pos
entrega rapida, antes do prazo;pos
entrei em contato com empresa que entregou o produto que veio faltando 1 toner. pois tentei contactar no dia que chegou a encomenda para lojas lannister porem nao tem canal para fazer reclamacao.;neg
quadros kit. recomendo a loja;pos
muito bom;pos
recebi tido certinho, no prazo certo. a loja esta de parabens em relacao a logistica, porem o produto nao e de qualidade.;neg
- a compra foi efetuada em 30/01- a emissao da nota fiscal emitida em 05/02- ate 16/03 ainda nao recebemos a mercadoria- que avaliacao deveriamos dar a isto?- desonestos? ineficientes? etc, et;neg
tive que retirar no correio pois nao entregaram porque nao tinha ninguem so nao entendi pois moro em condominio e a portaria nao fica so mais td bem ja retirei o produto;neg
recomendo. sempre fui bem atendida, entregaram no prazo.acredito que por causa das greves dos caminhoneiros e dos petroleiros, isso afetou o atendimento aos clientes.;pos
eu recomendo muito o produto, alem de tudo a entrega foi muito rapida.;pos
ja enviei diversos emails e nao obtive resposta;neg
gostei muito dos panos de prato foi o que imaginava;pos
fiquei satisfeito com a aquisicao, produto foi entregue corretamente e antes do prazo previsto.;pos
. estou chateado com o site. motivo em que o meu pedido veio diferente do que pedi. e estou com dificuldade para trocar.;neg
recomendo. otimo produto, entregue dentro do prazo.;pos
otimo produto de excelente qualidade, entrega dentro do prazo determinado;pos
o produto esta estranho ja enviei uma reclamacao para loja parceira, informando sobre o estado do produto e que na embalagem nao consta data de fabricacao nem data de validade, 950 gr nao e 1 k.;neg
otimo... entrega rapidiss;pos
o produto veio faltando a ceringa para preencher o cartucho.;neg
produto vendido sem estoque, cancelei a venda, solicitei a devolucao e mesmo assim mesmo;neg
produto nao entregue. ainda nao recebi o produto.;neg
o produto que eu pedi nao foi entregue, entregaram outro no lugar,falta de respeito da loja lannister com os seus clientes!;neg
meu produto nao foi entregue. ja mandei varias mensagens e nao obtive nenhum retorno. quero meu dinheiro de volta;neg
recomendo! tudo do jeito que eu queria!;pos
muito bom, loja entregou certinho;pos
produto bom obrigada.;pos
recomendo.. entrega bem antes do previsto.;pos
parabens a toda equip. equipe baratheon esta de parabens !!! comparei mais vezes indicarei para as pessoas que conheco forte abraco a todos !;pos
muito bom, adorei e quem recebeu o presente tambem adorou!;pos
otimo;pos
produto bem embaldo ,chgou antes do prazo tudo correto ...recomendo;pos
produto de excelente qualidade, pelo menor preco do mercado e a entrega super rapida. chegou antes da previsao. nota 10!;pos
chegou antes do prazo, tapete lindo e otimo;pos
excelente vendedor. chegou muito antes do prazo, excelente atendimento, super recomendo.;pos
super recomendo chegou direitinho;pos
entrega dentro do prazo,porem o produto veio diferente da foto,um tecido muito leve e fino!;neg
entrega feita no prazo. relogio muito elegante e com materiais de otima qualidade.;pos
uma entrega antes do prazo e bem sucedida.;pos
produto pessimo. a entrega foi otima, bem antes do prazo. o produto e que e pessimo, nao sintoniza as estacoes, so tem um botao para varias funcoes. nao recomendo.;neg
o envio apresentou problema no transcurso do pedido. contudo, o produto foi entregue dentro do longo prazo dado.;neg
frete caro;neg
produto muito excelente,recebi antes do prazo.estou satisfeito.;pos
entregou muiiiito rapido, produto excelente;pos
otima loja, entregou o produto corretamente antes do termino do prazo.;pos
parabens;pos
o produto veio certo porem o prazo de entrega foi muito longo a mercadoria veio e voltou por mal encaminhamento;pos
otimo vendedor;pos
5. muito bom;pos
compra feita a mais de 10 dias e nao foi entregue ainda;neg
otima avaliacao;neg
preciso entrar em contato com vcs urgente.;neg
avental lindo!;pos
uma porcaria... vendedor nao entra em contato...quero o meu dinheiro de volta. .ou entao vou a delegacia do consumidor;neg
o baratheon e excelente, a entrega e rapida, mais os parceiros demora entregar os produtos, favor me informar quando a minha compra for por parceiros que vao se responsabilizar pele entra.;neg
a pelicula de vidro veio riscada e a capa carteira a qual acompanha nao parece ser de couro.;neg
super rapido e tranquilo.;pos
vou aguardar mais um dia. of460865212br nao consegui rastrear a entrega e consta no site que ja foi feita;neg
regular . fiquei um pouco decepcionado, pois foi entregue um celular de modelo 1133 inferior e de outra cor preta. o celular escolhido e comprado foi o modelo 1134 e de cor azul.;pos
muito bom produto, a entrega foi antes do prazo estipulado. recomendo.;pos
bom produto. tudo ok;neg
muito bom e extremamente util, recomendo!;neg
5. muito boa, entrega rapido e sem complicacoes;pos
muito bom !!. recomendo tanto o site lannister quanto a loja parceira targaryen .;pos
excelente . excelente site, sempre compro e indico. muito obrigado;pos
excelente. execelente;pos
bom dmais. execente;pos
agradeco pela rapidez na entrega.recomendo sempre, um site que nao tem problemas.respeito ao consumidor.;pos
produto certinho conforme anunciado chegou antes do prazo !e com qualidade obrigado super recomendo;pos
entregue no prazo, produto tudo em ordem, nunca tive problemas com a lannister.super indico.;pos
gostei do produto.. a informacao esta clara, mas e sempre bom lembrar que se trata de um produto compacto, ideal para viagens!;pos
muito bom. entrega com rapidez ...obrigado pelo respeito ao cliente;pos
satisfeita;neg
o produto chegou antes do prazo e certinho. parabens!;pos
recebi o pedido no ultimo dia prometido, o que me deixou um pouco ansiosa. sugiro mais rapidez na entrega.;pos
otimo produto!;pos
chegou bem antes do prazo, muito recomendo;pos
pedido prometido para 22/12, ainda nao recebido.;neg
avaliacao media, produto nao foi entregue no prazo informado no ato da compra.;neg
fiz a compra de dois produtos, um foi entregue imediatamente mas o outro demorou demais. a compra foi entregue separado com duas datas de entrega. nao gostei.;neg
tudo blz;pos
a compra que fiz poderia ter sido centralizada num unico fornecedor, ao inves de 2.;pos
recomendo;pos
otima loja. a minha encomenda chegou no prazo sertinho tudo ok;pos
sem comentarios;pos
chegou no prazo;neg
otimo. produto chegou noprazo certo em otimo estado;pos
cade meu pedido????;neg
produto entregue antes do prazo estipulado muito bom gostei e recomendo;pos
produto nao foi entregado. a capa de colchao azul marinho nao foi entregue e consta no site que foi entregue!!!aguardo a capa de colchao solteiro azul marinho pois nao veio e esta constando que me entregaram!!!!!;neg
nao recebi o produto;neg
queria saber o que fazer . eu recebi o produto parcialmente..esta faltando o jogo de lencois;neg
nao recebi ainda . nao recebi;neg
obrigado, recebi antes do prazo previsto;pos
comprei 2 dois kits compostos por capinha  pelicula de gel... veio apenas um kit! faltaram, portanto, uma capinha e uma pelicula...por fim, a pelicula que veio era comum e nao a de gel.;neg
recebi muito rapido, produto perfeito!!;pos
excelente servico, alias, como sempre;pos
o produto nao funcionou. nao conseguiram instalar para mim. ficou vazando.;neg
nota 10. eu amei o produto!!!!;pos
mercadoria ok. a cadeira veio ok e no prazo. dei apenas duas estrelas pois os demais produtos pedidos chegaram com uma semana de atraso na entrega!;neg
a caixa veio com a ponta um pouco amassada mas acredito que nao tenha atingido o produto.entrega dentro do prazo. gostei. se continuar assim recomendarei mais e mais.;pos
ainda nao recebi;neg
recomendo;pos
excelente.;pos
produto nao entregue. depois de muito tempo somente hoje recebi uma mensagem com a seguinte informacao:boa tarde valter! agradecemos por entrar em contato.lamentamos a demora em lhe retornar!seu pedido nao foi;neg
aspecto do produto. o produto branco veio sujo como se ja tivesse sido usado e dando a impressao de nao ser novo.;neg
adorei..chegou antes do prazo;pos
o produto tem uma boa construcao e aparencia, apesar de ter vindo com 02 dos seus cantos descascados, alem disso, um dos vidros esta com uma pequena trinca, acho que deveria ser melhor embalado.;pos
recomendo. apesar da paralisacao dos caminhoneiros no final de maio, o produto chegou no final do prazo sugerido no sistema. foram bem atenciosos no sistema de sac quando perguntei com relacao ao envio.;pos
produto veio correto, no prazo certo, lindo;pos
rapido a entrega e no combinado.;pos
adorei comprar com voces!parabens pelo trabalho...beijosaninha;pos
cortina bem simples.;pos
produto incorreto. preciso da devolucao imediata do valor da compra;neg
pode comprar e confiavel;pos
produto excelente!;pos
recebi o produto antes do prazo determinado pela loja! entrega rapida e tudo certo com o produto!;pos
a propaganda noticiava um produto original, mas recebi um falsificado. ja reclamei faz dois dias e sequer fui respondido.;neg
veio tudo certo;neg
mto bom.;pos
os correios ja sairam da greve?;neg
excelente produto e veio rapido;pos
otimo;pos
entregue corretamente;neg
bom . gostei;pos
ainda nao recebi;neg
superou as expectativas!. produto maravilhoso! muito alem do q esperava e chegou antes do prazo! uma riqueza de detalhes espetacular! fiquei muito satisfeito com a seriedade das loja!;pos
espaco pequeno para relatar o problema.;neg
material duravel. recomendo.;pos
excelente produto;pos
a cor e diferente;neg
tudo ok.;pos
otimo;pos
o produto enviado nao e o que foi adquirido. quero meu dinheiro de volta;neg
produto errado. infelizmente recebi um produto bem inferior ao que comprei.;neg
produtos fora de validade. os seis shampoos a seco que recebi e que compunham o kit que comprei estao vencidos. a data de validade em cada um deles e 06/2018. solicito ressarcimento do valor pago.;neg
recomendo sim entrega chegou dentro do prazo e sem perder a cuidado com a mercadoria;pos
nao recorrendo. vendeu um produto que nao tinhas e demorou muito pra entrar em contato para cancelar o pedido.;neg
compro na lannister ha alguns anos. nunca tive problemas com ela. estao de parabens;pos
o pedido foi entregue parcialmente, ficando faltando ainda tres itens.;neg
excelente, meu filho amou.. otimo para bebes serve ate de almofada.;pos
entrega conforme prometid. tudo bem e antes do prazo. achei o robo maior do que eu imaginava mas a entrega foi otima.;pos
bom;pos
otimo vendedor. prestativo e atencioso.;pos
otimo!. otima capa a pelicula bem melhor que a anterior!satisfeito!!!;pos
so recebi 01 radio e eficiencia um kit com 02;neg
a compra foram dois controles e chegou um. cade o outro?;neg
otimo vendedor;pos
se todas as lojas fossem rapidas assim tava bom;pos
eu conprei dois tanner e recebi apenas um;neg
foi entregue apenas 1 e eu comprei 2.conforme nota;neg
a empresa e boa , so faltou mais um controle, pois eu comprei 2 produtos.;pos
